jdk,n,mean_ratio_x,median_ratio_x,sd_ratio_x,cv_percent,min_ratio_x,max_ratio_x,ci95_low,ci95_high,ci_method
Temurin 17,3,139.0572393580816,145.2432279074551,18.870852573568037,13.570564654296307,117.8697918973048,154.0586982694849,92.17944282556034,185.93503589060288,"two-sided t interval, df=2"
Temurin 21,3,79.47038819678475,78.36168320750213,40.15415601487301,50.52719248765112,39.88206607697348,120.16741530587868,-20.278065046757575,179.21884144032708,"two-sided t interval, df=2"
Temurin 25,3,61.05994846302502,66.4830005480476,21.039400750614167,34.45695792448076,37.83990556757449,78.856939273453,8.79517962396757,113.32471730208248,"two-sided t interval, df=2"
