FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                , Base_Seq-default,         , RAJA_Seq-default,         , RAJA_Seq-new    ,        
Basic_DAXPY           , 0               ,base_ref , -0.072          ,         , 0               ,        
Stream_TRIAD          , 0               ,base_ref , 0.055           ,         , 0               ,        
Algorithm_REDUCE_SUM  , 0               ,base_ref , 0.47            ,OVER_TOL , 0.012           ,        
                      ,                 ,         ,                 ,         ,                 ,        
Col Min               , 0               ,         , -0.072          ,         , 0.012           ,        
Col Max               , 0               ,         , 0.47            ,         , 0.012           ,        
Col Avg               , 0               ,         , 0.15            ,         , 0.012           ,        
Col Std Dev           , 0               ,         , 0.054           ,         , 0               ,        
