JDK,n independent runs,Mean ratio (×),Median ratio (×),SD (×),CV (%),Min (×),Max (×),Mean sjOps (µs/op),Mean ijOps (µs/op)
Temurin 17,3,139.0572393580816,145.2432279074551,18.870852573568037,13.570564654296307,117.8697918973048,154.0586982694849,266.13830752689574,35467.49400480363
Temurin 21,3,79.47038819678475,78.36168320750213,40.15415601487301,50.52719248765112,39.88206607697348,120.16741530587868,411.61542892133883,24732.629413229224
Temurin 25,3,61.05994846302502,66.4830005480476,21.039400750614167,34.45695792448076,37.83990556757449,78.856939273453,311.1896128123213,20240.55861805344
