Kernels run without MPI
Kernel                 ,    Problem size ,    Reps ,    Iterations/rep ,    Kernels/rep ,    BytesMoved/rep ,    FLOPS/rep ,    BytesTouched/rep ,    BytesRead/rep ,    BytesWritten/rep ,    BytesModifyWritten/rep ,    BytesAtomicModifyWritten/rep ,    BytesAllocated/rep , ChecksumConsistency          , OperationalComplexity   , MaxPerfectLoopDimensions    , ProblemDimensionality   
Basic_DAXPY            ,         1000000 ,     500 ,           1000000 ,              1 ,          24000000 ,      2000000 ,            16000000 ,         16000000 ,             8000000 ,                   8000000 ,                               0 ,              16000000 , ConsistentPerVariantTuning   , O(N)                    ,                           1 ,                        1
Stream_TRIAD           ,         1000000 ,    1000 ,           1000000 ,              1 ,          24000000 ,      2000000 ,            24000000 ,         16000000 ,             8000000 ,                         0 ,                               0 ,              24000000 , ConsistentPerVariantTuning   , O(N)                    ,                           1 ,                        1
Algorithm_REDUCE_SUM   ,         1000000 ,      50 ,           1000000 ,              1 ,           8000000 ,      1000000 ,             8000000 ,          8000000 ,                   0 ,                         0 ,                               0 ,               8000000 , Inconsistent                 , O(N)                    ,                           1 ,                        1
