FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                , Base_Seq-default,         , Base_Seq-kahan  ,         , Base_Seq-cascade,         , RAJA_Seq-default,         , RAJA_Seq-new    ,        
Basic_DAXPY           , 0               ,base_ref , Not run         ,         , Not run         ,         , 0.00056         ,         , Not run         ,        
Stream_TRIAD          , 0               ,base_ref , Not run         ,         , Not run         ,         , 0.078           ,         , Not run         ,        
Algorithm_REDUCE_SUM  , 0               ,base_ref , 2.6             ,OVER_TOL , 0.11            ,OVER_TOL , 0.61            ,OVER_TOL , 0.012           ,        
                      ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min               , 0               ,         , 2.6             ,         , 0.11            ,         , 0.00056         ,         , 0.012           ,        
Col Max               , 0               ,         , 2.6             ,         , 0.11            ,         , 0.61            ,         , 0.012           ,        
Col Avg               , 0               ,         , 2.6             ,         , 0.11            ,         , 0.23            ,         , 0.012           ,        
Col Std Dev           , 0               ,         , 0               ,         , 0               ,         , 0.073           ,         , 0               ,        
